prod_id,inj_id,distance_m,metric_distance_m,direction_factor,direction_cosine,kernel_type,kernel_params,kernel_score,weight,lag,tau,corr,overlap,lower_bound,upper_bound,t_diff_days,t_front_days
45,24,512.0817800889229,512.0449686297484,1.0,,idw,{'p': 4.0},10.449543656138275,0.35722842956569234,1,1.0,0.3327624226557361,180,1,2,0.8855468636689395,30.88554686366894
45,34,961.8999959777522,961.8507833141269,1.0,,idw,{'p': 4.0},10.449543656138275,0.028732047802336215,1,1.0,0.33323702072043676,180,1,2,3.124717423539058,33.12471742353906
45,7,546.1821259093068,546.1471617273223,1.0,,idw,{'p': 4.0},10.449543656138275,0.4655065965134059,1,1.0,0.5612035561410175,180,1,2,1.0074295954670773,31.007429595467077
45,36,1336.6752050947941,1336.6662969923384,1.0,,idw,{'p': 4.0},10.449543656138275,0.016536404333881826,2,2.0,0.7153011522179363,179,1,2,6.034500653074087,36.03450065307409
48,1,459.87815515695,459.8723031348591,1.0,,idw,{'p': 4.0},10.449543656138275,0.42107824976190383,1,1.0,0.6562145282544112,180,1,2,0.7142822385169468,30.714282238516947
48,24,890.0894056750478,890.0797310325406,1.0,,idw,{'p': 4.0},10.449543656138275,0.029622968613739684,1,1.0,0.6478556342331293,180,1,2,2.6757970202107217,32.67579702021072
48,34,527.4858453750585,527.4290563393718,1.0,,idw,{'p': 4.0},10.449543656138275,0.23870170980784264,1,1.0,0.6436440406033487,180,1,2,0.9395576788018551,30.939557678801854
48,36,507.5185892388673,507.51036080360973,1.0,,idw,{'p': 4.0},10.449543656138275,0.30639275610441535,1,1.0,0.708259095711237,180,1,2,0.869931723917519,30.869931723917517
48,7,1316.5239231639846,1316.498572488056,1.0,,idw,{'p': 4.0},10.449543656138275,0.00420431571209849,1,1.0,0.44005899956601474,180,1,2,5.853776382160223,35.85377638216022
50,1,583.0119142713776,583.00494824862,1.0,,idw,{'p': 4.0},10.449543656138275,0.27591647982501044,2,2.0,0.8259060958303739,179,1,2,1.147994545886109,31.14799454588611
50,24,474.31536183083523,474.2922728326028,1.0,,idw,{'p': 4.0},10.449543656138275,0.7035621682591471,2,2.0,0.9224667964038372,179,1,2,0.7597792725085325,30.75977927250853
50,34,1405.4549902881272,1405.430658846533,1.0,,idw,{'p': 4.0},10.449543656138275,0.008886914281112938,2,2.0,0.898364851323497,179,1,2,6.67135712513762,36.67135712513762
50,36,1491.6950959809153,1491.6911754694777,1.0,,idw,{'p': 4.0},10.449543656138275,0.0017634265564679947,2,2.0,0.22622319229021431,179,1,2,7.5154187529855365,37.51541875298554
50,7,827.7763273014083,827.7410696833933,1.0,,idw,{'p': 4.0},10.449543656138275,0.009871011078261424,2,2.0,0.12006148830434149,179,1,2,2.3141118748897305,32.31411187488973
