DATA;well;TYPE;WLPT;WLPR;WOMT;WOMR;WWIR;WWIT;WTHP;WBHP;WLPT_Diff;WOMT_Diff;WWIT_Diff;;;
01.04.2019;1;INJ;17665.67229;0;4870.00384;0;195.9034426;733317.1426;182.5301179;230.4718336;0;0;5877.103277;;;
01.05.2019;1;INJ;17665.67229;0;4870.00384;0;195.9034426;739390.1494;181.8879381;229.7996754;0;0;6073.00672;;;
01.06.2019;1;INJ;17665.67229;0;4870.00384;0;195.9034426;745267.2526;181.2128632;229.1027126;0;0;5877.103277;;;
01.07.2019;1;INJ;17665.67229;0;4870.00384;0;195.9034426;751340.2594;181.6225923;229.5012025;0;0;6073.00672;;;
01.08.2019;1;INJ;17665.67229;0;4870.00384;0;195.9034426;757413.2661;181.4081195;229.2505375;0;0;6073.00672;;;
01.09.2019;1;INJ;17665.67229;0;4870.00384;0;195.9034426;763290.3694;180.8454871;228.6598637;0;0;5877.103277;;;
01.10.2019;1;INJ;17665.67229;0;4870.00384;0;195.9034426;769363.3761;180.1991785;227.9918627;0;0;6073.00672;;;
01.11.2019;1;INJ;17665.67229;0;4870.00384;0;195.9034426;775240.4794;180.6779042;228.4599979;0;0;5877.103277;;;
01.12.2019;1;INJ;17665.67229;0;4870.00384;0;195.9034426;781313.4861;180.5325701;228.280154;0;0;6073.00672;;;
01.01.2020;1;INJ;17665.67229;0;4870.00384;0;195.9034426;787386.4928;179.9892401;227.7093207;0;0;6073.00672;;;
01.02.2020;1;INJ;17665.67229;0;4870.00384;0;195.9034426;793067.6926;179.3982496;227.099836;0;0;5681.199835;;;
01.03.2020;1;INJ;17665.67229;0;4870.00384;0;195.9034426;799140.6994;179.8663622;227.5583502;0;0;6073.00672;;;
01.04.2020;1;INJ;17665.67229;0;4870.00384;0;195.9034426;805017.8026;179.7126367;227.373111;0;0;5877.103277;;;
01.05.2020;1;INJ;17665.67229;0;4870.00384;0;195.9034426;811090.8094;179.1682515;226.8036142;0;0;6073.00672;;;
01.06.2020;1;INJ;17665.67229;0;4870.00384;0;195.9034426;816967.9126;178.5752602;226.1930511;0;0;5877.103277;;;
01.07.2020;1;INJ;17665.67229;0;4870.00384;0;195.9034426;823040.9193;179.0677387;226.6763916;0;0;6073.00672;;;
01.08.2020;1;INJ;17665.67229;0;4870.00384;0;195.9034426;829113.9261;178.914085;226.492054;0;0;6073.00672;;;
01.09.2020;1;INJ;17665.67229;0;4870.00384;0;195.9034426;834991.0293;178.4020239;225.9572198;0;0;5877.103277;;;
01.10.2020;1;INJ;17665.67229;0;4870.00384;0;195.9034426;841064.0361;177.8050903;225.3435952;0;0;6073.00672;;;
01.11.2020;1;INJ;17665.67229;0;4870.00384;0;195.9034426;846941.1393;178.2986885;225.8289161;0;0;5877.103277;;;
01.12.2020;1;INJ;17665.67229;0;4870.00384;0;195.9034426;853014.1461;178.2287101;225.729109;0;0;6073.00672;;;
01.01.2021;1;INJ;17665.67229;0;4870.00384;0;195.9034426;859087.1528;177.6790671;225.1580121;0;0;6073.00672;;;
01.02.2021;1;INJ;17665.67229;0;4870.00384;0;195.9034426;864572.4492;177.1364783;224.6018099;0;0;5485.296392;;;
01.03.2021;1;INJ;17665.67229;0;4870.00384;0;195.9034426;870645.4559;177.6524531;225.1100343;0;0;6073.00672;;;
01.04.2021;1;INJ;17665.67229;0;4870.00384;0;195.9034426;876522.5592;177.5314998;224.9622403;0;0;5877.103277;;;
01.05.2021;1;INJ;17665.67229;0;4870.00384;0;195.9034426;882595.5659;177.0172057;224.4275197;0;0;6073.00672;;;
01.06.2021;1;INJ;17665.67229;0;4870.00384;0;195.9034426;888472.6692;176.4535772;223.8502275;0;0;5877.103277;;;
01.07.2021;1;INJ;17665.67229;0;4870.00384;0;195.9034426;894545.6759;176.9848098;224.3740303;0;0;6073.00672;;;
01.08.2021;1;INJ;17665.67229;0;4870.00384;0;195.9034426;900618.6826;176.8558205;224.2187643;0;0;6073.00672;;;
01.09.2021;1;INJ;17665.67229;0;4870.00384;0;195.9034426;906495.7859;176.3651225;223.7095086;0;0;5877.103277;;;
01.10.2021;1;INJ;17665.67229;0;4870.00384;0;195.9034426;912568.7926;175.7904144;223.1218027;0;0;6073.00672;;;
01.11.2021;1;INJ;17665.67229;0;4870.00384;0;195.9034426;918445.8959;176.3554034;223.6797467;0;0;5877.103277;;;
01.12.2021;1;INJ;17665.67229;0;4870.00384;0;195.9034426;924518.9026;176.3859343;223.6812594;0;0;6073.00672;;;
01.01.2022;1;INJ;17665.67229;0;4870.00384;0;195.9034426;930591.9093;175.7746441;223.0523589;0;0;6073.00672;;;
01.02.2022;1;INJ;17665.67229;0;4870.00384;0;195.9034426;936077.2057;175.2070876;222.4765894;0;0;5485.296392;;;
01.03.2022;1;INJ;17665.67229;0;4870.00384;0;195.9034426;942150.2124;175.740749;223.0045991;0;0;6073.00672;;;
01.04.2022;1;INJ;17665.67229;0;4870.00384;0;195.9034426;948027.3157;175.637265;222.8782977;0;0;5877.103277;;;
01.05.2022;1;INJ;17665.67229;0;4870.00384;0;195.9034426;954100.3224;175.1418336;222.3661558;0;0;6073.00672;;;
01.06.2022;1;INJ;17665.67229;0;4870.00384;0;195.9034426;959977.4257;174.5986579;221.8121757;0;0;5877.103277;;;
01.07.2022;1;INJ;17665.67229;0;4870.00384;0;195.9034426;966050.4324;175.1599394;222.366873;0;0;6073.00672;;;
01.08.2022;1;INJ;17665.67229;0;4870.00384;0;195.9034426;972123.4392;175.0470607;222.2310717;0;0;6073.00672;;;
01.09.2022;1;INJ;17665.67229;0;4870.00384;0;195.9034426;978000.5424;174.5702763;221.7388546;0;0;5877.103277;;;
01.10.2022;1;INJ;17665.67229;0;4870.00384;0;195.9034426;984073.5492;174.0136633;221.1719242;0;0;6073.00672;;;
01.11.2022;1;INJ;17665.67229;0;4870.00384;0;195.9034426;989950.6524;174.5634617;221.7156168;0;0;5877.103277;;;
01.05.2007;3;Prod;0;0;0;0;0;0;0;0;0;0;0;;;
01.06.2007;3;Prod;4841.653209;142.2358127;1667.188221;49.71969682;0;0;94.37729208;60;4841.653209;1667.188221;0;;;
01.07.2007;3;Prod;8564.133657;120.0800144;2988.365893;42.61863457;0;0;89.57698711;60;3722.480447;1321.177672;0;;;
01.08.2007;3;Prod;11715.4307;101.6547435;4143.916289;37.27581922;0;0;85.68461178;60;3151.297047;1155.550396;0;;;
01.09.2007;3;Prod;14380.68166;88.84169864;5132.249304;32.94443382;0;0;82.69065903;60;2665.250959;988.3330147;0;;;
01.10.2007;3;Prod;16681.76324;68.12140104;5954.934077;23.88268053;0;0;77.40373174;60;2301.081581;822.6847732;0;;;
01.11.2007;3;Prod;18335.60575;55.12808362;6508.664337;18.45767535;0;0;74.19166479;60;1653.842509;553.7302604;0;;;
01.12.2007;3;Prod;19743.79745;45.42553871;6955.8977;14.42688266;0;0;71.77255069;60;1408.1917;447.2333624;0;;;
01.01.2008;3;Prod;20930.05957;38.26651992;7312.081487;11.48979959;0;0;69.97212687;60;1186.262118;356.1837873;0;;;
01.02.2008;3;Prod;21997.79872;36.81859124;7652.327617;11.73262517;0;0;69.77194456;60;1067.739146;340.2461299;0;;;
01.03.2008;3;Prod;23657.27856;65.82410113;8296.900442;26.07757732;0;0;77.78163698;60;1659.479849;644.5728251;0;;;
01.04.2008;3;Prod;26765.04256;103.5921332;9431.739814;37.82797906;0;0;87.4523356;60;3107.763995;1134.839372;0;;;
01.05.2008;3;Prod;30613.85564;132.193962;10762.46569;45.11676056;0;0;94.33530606;60;3848.813084;1330.725881;0;;;
01.06.2008;3;Prod;34838.83364;144.8231624;12198.10968;49.17546853;0;0;97.4099806;60;4224.977994;1435.643982;0;;;
